scheme_code,scheme_name,beta,alpha_annual
118989,ICICI Prudential Technology Fund - Direct Growth,0.03921504348064461,-0.022176411902729266
119551,Axis Bluechip Fund - Direct Growth,0.017254799956783584,0.21225949205188166
119598,Kotak Bluechip Fund - Direct Growth,-0.0010205799291859595,-0.06396424769078841
120465,Nippon India Large Cap Fund - Direct Growth,0.055949579687300806,-0.05943186531637359
120503,Mirae Asset Large Cap Fund - Direct Growth,-0.032331730276604444,0.23870898262281584
120594,DSP Top 100 Equity Fund - Direct Growth,-0.04361110857902125,0.2888425215215856
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,-0.03161906120184418,0.0028119184199100426
122639,SBI Small Cap Fund - Direct Growth,0.04724955362635588,0.09140760205834066
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,0.08359217233884023,-0.10184364976431604
135781,Parag Parikh Flexi Cap Fund - Direct Growth,-0.09319278246742681,-0.07561798903410363
