scheme_code,scheme_name,amc_id,category,sub_category,scheme_type,benchmark,launch_date,is_direct,is_active,created_at,updated_at
119551,Axis Bluechip Fund - Direct Growth,1,Equity,Large Cap,Open Ended,NIFTY 50,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
120503,Mirae Asset Large Cap Fund - Direct Growth,2,Equity,Large Cap,Open Ended,NIFTY 50,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
122639,SBI Small Cap Fund - Direct Growth,3,Equity,Small Cap,Open Ended,NIFTY SMALLCAP 100,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,4,Equity,Mid Cap,Open Ended,NIFTY MIDCAP 100,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
118989,ICICI Prudential Technology Fund - Direct Growth,5,Equity,Sectoral,Open Ended,NIFTY IT,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
119598,Kotak Bluechip Fund - Direct Growth,6,Equity,Large Cap,Open Ended,NIFTY 50,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
120465,Nippon India Large Cap Fund - Direct Growth,7,Equity,Large Cap,Open Ended,NIFTY 50,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
120594,DSP Top 100 Equity Fund - Direct Growth,8,Equity,Large Cap,Open Ended,NIFTY 50,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,9,Equity,Large Cap,Open Ended,NIFTY 50,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
135781,Parag Parikh Flexi Cap Fund - Direct Growth,10,Equity,Flexi Cap,Open Ended,NIFTY 500,,1,1,2026-06-12T18:44:37,2026-06-12T18:44:37
