transaction_id,investor_id,investor_name,investor_type,city,state,risk_profile,scheme_code,scheme_name,amc_code,transaction_type,transaction_date,amount_inr,units,nav_at_transaction
TXN0000001,INVCKJLT,Investor_0093,HUF,Jaipur,Rajasthan,Moderate,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Switch-Out,2024-08-20,489.05,2.38,205.4863
TXN0000002,INVVG0FN,Investor_0012,Individual,Hyderabad,Telangana,Conservative,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Redemption,2024-01-02,10494.63,42.2434,248.4327
TXN0000003,INVH9SDB,Investor_0018,HUF,Bengaluru,Karnataka,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Lumpsum,2023-11-12,1054.3,17.6044,59.8883
TXN0000004,INV7UR23,Investor_0035,HUF,Chennai,Tamil Nadu,Aggressive,119551,Axis Bluechip Fund - Direct Growth,AXIS,Redemption,2022-12-25,26567.54,134.4492,197.6028
TXN0000005,INVBNP84,Investor_0200,Individual,Lucknow,Uttar Pradesh,Aggressive,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-In,2022-05-10,2124.6,20.318,104.5675
TXN0000006,INVMWWYZ,Investor_0184,Individual,Pune,Maharashtra,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,SIP,2023-02-13,9403.18,73.1393,128.5654
TXN0000007,INVNHJ7X,Investor_0011,Corporate,Delhi,Delhi,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Redemption,2024-08-27,54891.23,774.2085,70.8998
TXN0000008,INV5935A,Investor_0065,HUF,Jaipur,Rajasthan,Aggressive,119551,Axis Bluechip Fund - Direct Growth,AXIS,Lumpsum,2022-04-08,9713.95,57.3279,169.4454
TXN0000009,INVOXFQ8,Investor_0168,HUF,Mumbai,Maharashtra,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Redemption,2024-06-13,1059.87,11.3045,93.7563
TXN0000010,INVHL1N1,Investor_0103,Corporate,Kolkata,West Bengal,Aggressive,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-In,2024-10-13,27368.62,202.287,135.296
TXN0000011,INVYFPMV,Investor_0178,Individual,Hyderabad,Telangana,Conservative,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,2024-05-19,10602.3,116.0244,91.3799
TXN0000012,INVAZYTJ,Investor_0021,Individual,Delhi,Delhi,Aggressive,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Switch-Out,2023-10-20,2018.19,6.1298,329.2437
TXN0000013,INVLC58D,Investor_0027,Individual,Pune,Maharashtra,Moderate,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Redemption,2024-05-22,9612.99,51.5329,186.5407
TXN0000014,INVJ2QP8,Investor_0043,Individual,Lucknow,Uttar Pradesh,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,2023-12-24,90847.1,1158.3001,78.4314
TXN0000015,INV49ITN,Investor_0158,Individual,Jaipur,Rajasthan,Conservative,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Redemption,2024-04-11,457.5,1.6263,281.3061
TXN0000016,INVEIYZC,Investor_0094,HUF,Lucknow,Uttar Pradesh,Moderate,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Lumpsum,2024-06-16,464.28,2.0712,224.1613
TXN0000017,INVZBIKC,Investor_0009,HUF,Delhi,Delhi,Conservative,122639,SBI Small Cap Fund - Direct Growth,SBI,SIP,2024-01-21,5278.52,12.1899,433.0227
TXN0000018,INVCKJLT,Investor_0093,HUF,Jaipur,Rajasthan,Moderate,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Switch-Out,2024-07-10,510.51,2.4572,207.7623
TXN0000019,INVOTOHP,Investor_0095,HUF,Kolkata,West Bengal,Aggressive,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Switch-In,2024-12-20,1014.78,12.0905,83.9321
TXN0000020,INVEIYZC,Investor_0094,HUF,Lucknow,Uttar Pradesh,Moderate,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Redemption,2022-08-21,9499.22,29.8277,318.4699
