scheme_code,scheme_name,fund_house,scheme_type,scheme_category,nav,nav_date,fetched_at,api_status
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,216.81,2026-06-11,2026-06-12T14:21:36,SUCCESS
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,105.5737,2026-06-11,2026-06-12T14:21:36,SUCCESS
119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,99.8201,2026-06-11,2026-06-12T14:21:36,SUCCESS
120465,Axis Large Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,65.23,2026-06-11,2026-06-12T14:21:36,SUCCESS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,102.8808,2026-06-11,2026-06-12T14:21:36,SUCCESS
120594,ICICI Prudential Technology Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,184.92,2026-06-11,2026-06-12T14:21:36,SUCCESS
120716,UTI Nifty 50 Index Fund - Growth Option- Direct,UTI Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,162.2351,2026-06-11,2026-06-12T14:21:36,SUCCESS
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,PPFAS Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,88.484,2026-06-11,2026-06-12T14:21:36,SUCCESS
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,192.6722,2026-06-11,2026-06-12T14:21:36,SUCCESS
135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,54.354,2026-06-11,2026-06-12T14:21:36,SUCCESS
