scheme_code,scheme_name,nav_date,nav,repurchase_price,sale_price,amc_code,category,sub_category
119551,Axis Bluechip Fund - Direct Growth,2022-01-03,144.3152,144.0987,144.3152,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-04,147.0105,146.79,147.0105,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-05,146.6562,146.4362,146.6562,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-06,146.3028,146.0833,146.3028,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-07,149.1338,148.9101,149.1338,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-10,150.814,150.5878,150.814,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-11,150.0356,149.8105,150.0356,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-12,149.2571,149.0332,149.2571,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-13,149.7502,149.5256,149.7502,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-14,146.3719,146.1523,146.3719,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-17,140.8157,140.6045,140.8157,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-18,141.403,141.1909,141.403,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-19,139.9188,139.7089,139.9188,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-20,137.6035,137.3971,137.6035,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-21,140.0787,139.8686,140.0787,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-24,137.5881,137.3817,137.5881,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-25,136.7443,136.5392,136.7443,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-26,136.981,136.7755,136.981,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-27,135.1438,134.9411,135.1438,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-28,135.8071,135.6034,135.8071,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-01-31,133.5473,133.347,133.5473,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-01,136.5691,136.3642,136.5691,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-02,136.6016,136.3967,136.6016,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-03,134.9224,134.72,134.9224,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-04,136.3081,136.1036,136.3081,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-07,131.6412,131.4437,131.6412,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-08,129.5957,129.4013,129.5957,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-09,129.9537,129.7588,129.9537,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-10,131.1573,130.9606,131.1573,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-11,131.4795,131.2823,131.4795,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-14,128.6569,128.4639,128.6569,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-15,127.597,127.4056,127.597,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-16,126.9427,126.7523,126.9427,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-17,128.6038,128.4109,128.6038,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-18,129.1855,128.9917,129.1855,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-21,126.5104,126.3206,126.5104,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-22,125.5334,125.3451,125.5334,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-23,126.505,126.3152,126.505,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-24,128.1207,127.9285,128.1207,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-25,129.6037,129.4093,129.6037,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-02-28,128.4852,128.2925,128.4852,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-01,130.0407,129.8456,130.0407,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-02,129.345,129.151,129.345,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-03,129.1086,128.9149,129.1086,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-04,127.4462,127.255,127.4462,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-07,129.0602,128.8666,129.0602,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-08,129.0003,128.8068,129.0003,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-09,130.6054,130.4095,130.6054,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-10,131.2244,131.0276,131.2244,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-11,130.261,130.0656,130.261,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-14,133.3419,133.1419,133.3419,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-15,135.8988,135.695,135.8988,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-16,131.6809,131.4834,131.6809,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-17,133.0323,132.8328,133.0323,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-18,133.2245,133.0247,133.2245,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-21,129.8802,129.6854,129.8802,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-22,129.5898,129.3954,129.5898,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-23,130.197,130.0017,130.197,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-24,132.5581,132.3593,132.5581,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-25,131.7867,131.589,131.7867,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-28,131.305,131.108,131.305,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-29,131.8755,131.6777,131.8755,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-30,131.0899,130.8933,131.0899,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-03-31,131.9497,131.7518,131.9497,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-01,132.1562,131.958,132.1562,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-04,132.2033,132.005,132.2033,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-05,131.6341,131.4366,131.6341,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-06,129.375,129.1809,129.375,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-08,130.3453,130.1498,130.3453,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-11,127.933,127.7411,127.933,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-12,127.3384,127.1474,127.3384,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-13,126.8656,126.6753,126.8656,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-14,125.695,125.5065,125.695,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-15,125.502,125.3137,125.502,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-18,129.3887,129.1946,129.3887,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-19,129.8403,129.6455,129.8403,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-20,129.7762,129.5815,129.7762,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-21,126.84,126.6497,126.84,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-22,126.8504,126.6601,126.8504,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-25,130.5478,130.352,130.5478,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-26,131.0724,130.8758,131.0724,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-27,131.0702,130.8736,131.0702,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-28,129.2845,129.0906,129.2845,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-04-29,131.1092,130.9125,131.1092,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-02,132.2488,132.0504,132.2488,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-03,134.5279,134.3261,134.5279,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-04,132.3187,132.1202,132.3187,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-05,133.3035,133.1035,133.3035,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-06,136.8608,136.6555,136.8608,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-09,134.6381,134.4361,134.6381,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-10,133.8785,133.6777,133.8785,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-11,131.4408,131.2436,131.4408,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-12,131.6015,131.4041,131.6015,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-13,129.9765,129.7815,129.9765,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-16,131.8348,131.637,131.8348,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-17,130.6484,130.4524,130.6484,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-18,130.1957,130.0004,130.1957,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-19,131.5188,131.3215,131.5188,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-20,129.6288,129.4344,129.6288,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-23,129.6304,129.436,129.6304,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-24,129.9695,129.7745,129.9695,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-25,130.4268,130.2312,130.4268,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-26,131.7026,131.505,131.7026,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-27,129.8004,129.6057,129.8004,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-30,129.157,128.9633,129.157,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-05-31,129.5969,129.4025,129.5969,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,2022-06-01,130.1875,129.9922,130.1875,AXIS,Equity,Large Cap
