scheme_code,scheme_name,sector,weight_pct
118989,ICICI Prudential Technology Fund - Direct Growth,Financial Services,0.05
118989,ICICI Prudential Technology Fund - Direct Growth,Technology,0.85
118989,ICICI Prudential Technology Fund - Direct Growth,Healthcare,0.03
118989,ICICI Prudential Technology Fund - Direct Growth,Energy,0.02
118989,ICICI Prudential Technology Fund - Direct Growth,Consumer Goods,0.05
119551,Axis Bluechip Fund - Direct Growth,Financial Services,0.35
119551,Axis Bluechip Fund - Direct Growth,Technology,0.2
119551,Axis Bluechip Fund - Direct Growth,Healthcare,0.15
119551,Axis Bluechip Fund - Direct Growth,Energy,0.15
119551,Axis Bluechip Fund - Direct Growth,Consumer Goods,0.15
119598,Kotak Bluechip Fund - Direct Growth,Financial Services,0.35
119598,Kotak Bluechip Fund - Direct Growth,Technology,0.2
119598,Kotak Bluechip Fund - Direct Growth,Healthcare,0.15
119598,Kotak Bluechip Fund - Direct Growth,Energy,0.15
119598,Kotak Bluechip Fund - Direct Growth,Consumer Goods,0.15
120465,Nippon India Large Cap Fund - Direct Growth,Financial Services,0.35
120465,Nippon India Large Cap Fund - Direct Growth,Technology,0.2
120465,Nippon India Large Cap Fund - Direct Growth,Healthcare,0.15
120465,Nippon India Large Cap Fund - Direct Growth,Energy,0.15
120465,Nippon India Large Cap Fund - Direct Growth,Consumer Goods,0.15
120503,Mirae Asset Large Cap Fund - Direct Growth,Financial Services,0.35
120503,Mirae Asset Large Cap Fund - Direct Growth,Technology,0.2
120503,Mirae Asset Large Cap Fund - Direct Growth,Healthcare,0.15
120503,Mirae Asset Large Cap Fund - Direct Growth,Energy,0.15
120503,Mirae Asset Large Cap Fund - Direct Growth,Consumer Goods,0.15
120594,DSP Top 100 Equity Fund - Direct Growth,Financial Services,0.35
120594,DSP Top 100 Equity Fund - Direct Growth,Technology,0.2
120594,DSP Top 100 Equity Fund - Direct Growth,Healthcare,0.15
120594,DSP Top 100 Equity Fund - Direct Growth,Energy,0.15
120594,DSP Top 100 Equity Fund - Direct Growth,Consumer Goods,0.15
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,Financial Services,0.35
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,Technology,0.2
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,Healthcare,0.15
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,Energy,0.15
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,Consumer Goods,0.15
122639,SBI Small Cap Fund - Direct Growth,Financial Services,0.35
122639,SBI Small Cap Fund - Direct Growth,Technology,0.2
122639,SBI Small Cap Fund - Direct Growth,Healthcare,0.15
122639,SBI Small Cap Fund - Direct Growth,Energy,0.15
122639,SBI Small Cap Fund - Direct Growth,Consumer Goods,0.15
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,Financial Services,0.35
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,Technology,0.2
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,Healthcare,0.15
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,Energy,0.15
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,Consumer Goods,0.15
135781,Parag Parikh Flexi Cap Fund - Direct Growth,Financial Services,0.35
135781,Parag Parikh Flexi Cap Fund - Direct Growth,Technology,0.2
135781,Parag Parikh Flexi Cap Fund - Direct Growth,Healthcare,0.15
135781,Parag Parikh Flexi Cap Fund - Direct Growth,Energy,0.15
135781,Parag Parikh Flexi Cap Fund - Direct Growth,Consumer Goods,0.15
