scheme_code,scheme_name,sector_hhi,concentration_level
118989,ICICI Prudential Technology Fund - Direct Growth,7288.0,High Concentration
119551,Axis Bluechip Fund - Direct Growth,2300.0,Moderate Concentration
119598,Kotak Bluechip Fund - Direct Growth,2300.0,Moderate Concentration
120465,Nippon India Large Cap Fund - Direct Growth,2300.0,Moderate Concentration
120503,Mirae Asset Large Cap Fund - Direct Growth,2300.0,Moderate Concentration
120594,DSP Top 100 Equity Fund - Direct Growth,2300.0,Moderate Concentration
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,2300.0,Moderate Concentration
122639,SBI Small Cap Fund - Direct Growth,2300.0,Moderate Concentration
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,2300.0,Moderate Concentration
135781,Parag Parikh Flexi Cap Fund - Direct Growth,2300.0,Moderate Concentration
