investor_id,scheme_code,first_sip_month,last_sip_month,expected_months,actual_months,continuity_rate,max_consecutive_streak,status
INV08P0F,118989,2022-10,2022-10,1,1,1.0,1,Inactive
INV08P0F,119598,2023-05,2023-05,1,1,1.0,1,Inactive
INV0982N,119598,2024-09,2024-09,1,1,1.0,1,Inactive
INV0L725,122639,2024-02,2024-02,1,1,1.0,1,Inactive
INV0L725,125497,2022-08,2022-08,1,1,1.0,1,Inactive
INV0LVSN,119551,2022-04,2022-04,1,1,1.0,1,Inactive
INV0LVSN,125497,2024-03,2024-03,1,1,1.0,1,Inactive
INV0Y9DO,120594,2023-05,2023-05,1,1,1.0,1,Inactive
INV18HAF,120594,2024-05,2024-05,1,1,1.0,1,Inactive
INV1GV0E,119598,2022-06,2022-06,1,1,1.0,1,Inactive
INV1GV0E,120503,2023-11,2023-11,1,1,1.0,1,Inactive
INV1IBLJ,119598,2024-06,2024-06,1,1,1.0,1,Inactive
INV1IBLJ,135781,2023-02,2023-02,1,1,1.0,1,Inactive
INV1W1HT,118989,2022-04,2022-04,1,1,1.0,1,Inactive
INV2ATQY,118989,2024-05,2024-05,1,1,1.0,1,Inactive
INV2ATQY,120716,2022-11,2022-11,1,1,1.0,1,Inactive
INV2ATQY,122639,2022-02,2022-02,1,1,1.0,1,Inactive
INV2IAGL,119598,2023-09,2023-09,1,1,1.0,1,Inactive
INV2O7S3,118989,2024-10,2024-10,1,1,1.0,1,Active
INV30T9N,135781,2023-05,2023-05,1,1,1.0,1,Inactive
INV31YIH,119551,2023-06,2024-01,8,2,0.25,1,Inactive
INV31YIH,122639,2023-09,2023-09,1,1,1.0,1,Inactive
INV31YIH,125497,2022-09,2022-09,1,1,1.0,1,Inactive
INV38DAL,120503,2024-06,2024-06,1,1,1.0,1,Inactive
INV3D8W3,119551,2023-01,2023-01,1,1,1.0,1,Inactive
INV3D8W3,120465,2022-11,2022-11,1,1,1.0,1,Inactive
INV3D8W3,120716,2022-11,2022-11,1,1,1.0,1,Inactive
INV3J2D5,119551,2024-08,2024-08,1,1,1.0,1,Inactive
INV3J2D5,120594,2022-02,2022-02,1,1,1.0,1,Inactive
INV3KX7E,120594,2024-11,2024-11,1,1,1.0,1,Active
INV3NX39,120716,2022-04,2022-04,1,1,1.0,1,Inactive
INV3R30M,120716,2023-07,2023-07,1,1,1.0,1,Inactive
INV3R30M,122639,2022-11,2022-11,1,1,1.0,1,Inactive
INV3R30M,135781,2022-09,2022-09,1,1,1.0,1,Inactive
INV3RZSJ,119551,2023-08,2023-08,1,1,1.0,1,Inactive
INV3RZSJ,125497,2024-08,2024-08,1,1,1.0,1,Inactive
INV3TRP0,118989,2023-05,2023-05,1,1,1.0,1,Inactive
INV3TRP0,120594,2022-12,2022-12,1,1,1.0,1,Inactive
INV3TRP0,122639,2023-03,2023-08,6,2,0.3333333333333333,1,Inactive
INV3ZMF8,125497,2022-10,2022-10,1,1,1.0,1,Inactive
INV49ITN,135781,2023-05,2023-05,1,1,1.0,1,Inactive
INV4I3QK,120594,2022-03,2022-03,1,1,1.0,1,Inactive
INV4I3QK,125497,2024-03,2024-03,1,1,1.0,1,Inactive
INV4NLZ1,120503,2024-05,2024-05,1,1,1.0,1,Inactive
INV4NLZ1,135781,2023-12,2023-12,1,1,1.0,1,Inactive
INV55NF4,119598,2022-07,2022-07,1,1,1.0,1,Inactive
INV55NF4,120465,2024-02,2024-02,1,1,1.0,1,Inactive
INV58KXO,120594,2022-12,2022-12,1,1,1.0,1,Inactive
INV58KXO,120716,2022-06,2022-06,1,1,1.0,1,Inactive
INV5BCW7,118989,2024-10,2024-10,1,1,1.0,1,Active
INV5BCW7,119598,2022-11,2022-11,1,1,1.0,1,Inactive
INV5BCW7,120594,2024-07,2024-07,1,1,1.0,1,Inactive
INV5JSG6,120594,2023-12,2023-12,1,1,1.0,1,Inactive
INV5KXVF,118989,2024-03,2024-03,1,1,1.0,1,Inactive
INV5KXVF,120503,2022-11,2022-11,1,1,1.0,1,Inactive
INV5KXVF,120716,2022-10,2022-10,1,1,1.0,1,Inactive
INV5OWF7,118989,2023-12,2023-12,1,1,1.0,1,Inactive
INV5OWF7,120503,2022-11,2022-11,1,1,1.0,1,Inactive
INV5OWF7,120594,2022-09,2022-09,1,1,1.0,1,Inactive
INV5OWF7,122639,2022-10,2022-10,1,1,1.0,1,Inactive
INV5PSQ0,122639,2023-08,2023-08,1,1,1.0,1,Inactive
INV5PY6B,118989,2023-01,2023-01,1,1,1.0,1,Inactive
INV5TB94,120465,2023-05,2023-05,1,1,1.0,1,Inactive
