Scheme Code,Scheme Name,Net Asset Value,Date,Repurchase Price,Sale Price,AMC
119551.0,Axis Bluechip Fund — Growth,193.5247,01-Jan-2024,191.5895,193.5247,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,475.85,01-Jan-2024,471.0915,475.85,Demo AMC
122639.0,SBI Small Cap Fund — Growth,368.677,01-Jan-2024,364.9902,368.677,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,303.3427,01-Jan-2024,300.3093,303.3427,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,86.4491,01-Jan-2024,85.5846,86.4491,Demo AMC
119551.0,Axis Bluechip Fund — Growth,86.4373,02-Jan-2024,85.5729,86.4373,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,38.461,02-Jan-2024,38.0764,38.461,Demo AMC
122639.0,SBI Small Cap Fund — Growth,434.4263,02-Jan-2024,430.082,434.4263,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,304.5464,02-Jan-2024,301.5009,304.5464,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,356.9556,02-Jan-2024,353.386,356.9556,Demo AMC
119551.0,Axis Bluechip Fund — Growth,20.0864,03-Jan-2024,19.8855,20.0864,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,485.2558,03-Jan-2024,480.4032,485.2558,Demo AMC
122639.0,SBI Small Cap Fund — Growth,417.8969,03-Jan-2024,413.7179,417.8969,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,114.0462,03-Jan-2024,112.9057,114.0462,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,99.0942,03-Jan-2024,98.1033,99.0942,Demo AMC
119551.0,Axis Bluechip Fund — Growth,99.8682,04-Jan-2024,98.8695,99.8682,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,159.0787,04-Jan-2024,157.4879,159.0787,Demo AMC
122639.0,SBI Small Cap Fund — Growth,267.1307,04-Jan-2024,264.4594,267.1307,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,221.6531,04-Jan-2024,219.4366,221.6531,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,152.7023,04-Jan-2024,151.1753,152.7023,Demo AMC
119551.0,Axis Bluechip Fund — Growth,309.8079,05-Jan-2024,306.7098,309.8079,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,78.352,05-Jan-2024,77.5685,78.352,Demo AMC
122639.0,SBI Small Cap Fund — Growth,153.1509,05-Jan-2024,151.6194,153.1509,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,189.5173,05-Jan-2024,187.6221,189.5173,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,233.4743,05-Jan-2024,231.1396,233.4743,Demo AMC
119551.0,Axis Bluechip Fund — Growth,394.7362,06-Jan-2024,390.7888,394.7362,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,107.8402,06-Jan-2024,106.7618,107.8402,Demo AMC
122639.0,SBI Small Cap Fund — Growth,261.9749,06-Jan-2024,259.3552,261.9749,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,300.2831,06-Jan-2024,297.2803,300.2831,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,32.7607,06-Jan-2024,32.4331,32.7607,Demo AMC
119551.0,Axis Bluechip Fund — Growth,307.697,07-Jan-2024,304.62,307.697,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,93.5568,07-Jan-2024,92.6212,93.5568,Demo AMC
122639.0,SBI Small Cap Fund — Growth,41.8753,07-Jan-2024,41.4565,41.8753,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,474.9539,07-Jan-2024,470.2044,474.9539,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,483.1597,07-Jan-2024,478.3281,483.1597,Demo AMC
119551.0,Axis Bluechip Fund — Growth,406.1147,08-Jan-2024,402.0536,406.1147,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,159.2607,08-Jan-2024,157.6681,159.2607,Demo AMC
122639.0,SBI Small Cap Fund — Growth,57.8593,08-Jan-2024,57.2807,57.8593,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,345.2742,08-Jan-2024,341.8215,345.2742,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,225.6747,08-Jan-2024,223.418,225.6747,Demo AMC
119551.0,Axis Bluechip Fund — Growth,69.7987,09-Jan-2024,69.1007,69.7987,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,252.6367,09-Jan-2024,250.1103,252.6367,Demo AMC
122639.0,SBI Small Cap Fund — Growth,26.8504,09-Jan-2024,26.5819,26.8504,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,455.567,09-Jan-2024,451.0113,455.567,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,136.8022,09-Jan-2024,135.4342,136.8022,Demo AMC
119551.0,Axis Bluechip Fund — Growth,334.6359,10-Jan-2024,331.2895,334.6359,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,162.7384,10-Jan-2024,161.111,162.7384,Demo AMC
122639.0,SBI Small Cap Fund — Growth,264.8333,10-Jan-2024,262.185,264.8333,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,277.888,10-Jan-2024,275.1091,277.888,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,100.5787,10-Jan-2024,99.5729,100.5787,Demo AMC
119551.0,Axis Bluechip Fund — Growth,485.0965,11-Jan-2024,480.2455,485.0965,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,389.8151,11-Jan-2024,385.9169,389.8151,Demo AMC
122639.0,SBI Small Cap Fund — Growth,470.3545,11-Jan-2024,465.651,470.3545,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,448.4654,11-Jan-2024,443.9807,448.4654,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,302.971,11-Jan-2024,299.9413,302.971,Demo AMC
119551.0,Axis Bluechip Fund — Growth,461.7184,12-Jan-2024,457.1012,461.7184,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,53.3613,12-Jan-2024,52.8277,53.3613,Demo AMC
122639.0,SBI Small Cap Fund — Growth,106.0316,12-Jan-2024,104.9713,106.0316,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,32.1614,12-Jan-2024,31.8398,32.1614,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,169.4119,12-Jan-2024,167.7178,169.4119,Demo AMC
119551.0,Axis Bluechip Fund — Growth,200.4519,13-Jan-2024,198.4474,200.4519,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,142.961,13-Jan-2024,141.5314,142.961,Demo AMC
122639.0,SBI Small Cap Fund — Growth,416.0814,13-Jan-2024,411.9206,416.0814,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,184.8091,13-Jan-2024,182.961,184.8091,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,147.6579,13-Jan-2024,146.1813,147.6579,Demo AMC
119551.0,Axis Bluechip Fund — Growth,275.9211,14-Jan-2024,273.1619,275.9211,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,79.0529,14-Jan-2024,78.2624,79.0529,Demo AMC
122639.0,SBI Small Cap Fund — Growth,403.0765,14-Jan-2024,399.0457,403.0765,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,46.5298,14-Jan-2024,46.0645,46.5298,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,493.5746,14-Jan-2024,488.6389,493.5746,Demo AMC
119551.0,Axis Bluechip Fund — Growth,388.3999,15-Jan-2024,384.5159,388.3999,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,107.3707,15-Jan-2024,106.297,107.3707,Demo AMC
122639.0,SBI Small Cap Fund — Growth,12.7058,15-Jan-2024,12.5787,12.7058,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,409.5761,15-Jan-2024,405.4803,409.5761,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,356.3601,15-Jan-2024,352.7965,356.3601,Demo AMC
119551.0,Axis Bluechip Fund — Growth,367.2135,16-Jan-2024,363.5414,367.2135,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,387.9225,16-Jan-2024,384.0433,387.9225,Demo AMC
122639.0,SBI Small Cap Fund — Growth,46.2819,16-Jan-2024,45.8191,46.2819,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,185.6482,16-Jan-2024,183.7917,185.6482,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,66.7758,16-Jan-2024,66.108,66.7758,Demo AMC
119551.0,Axis Bluechip Fund — Growth,432.9207,17-Jan-2024,428.5915,432.9207,Demo AMC
