Transaction ID,Investor ID,Investor Name,Investor Type,City,State,Risk Profile,Scheme Code,Scheme Name,AMC Code,Transaction Type,Transaction Date,Amount (INR),Units,NAV at Transaction
TXN0000001,INVCKJLT,Investor_0093,HUF,Jaipur,Rajasthan,Moderate,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Switch-Out,20-Aug-2024,489.05,2.38,205.4863
TXN0000002,INVVG0FN,Investor_0012,Individual,Hyderabad,Telangana,Conservative,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Redemption,02-Jan-2024,10494.63,42.2434,248.4327
TXN0000003,INVH9SDB,Investor_0018,HUF,Bengaluru,Karnataka,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Lumpsum,12-Nov-2023,1054.3,17.6044,59.8883
TXN0000004,INV7UR23,Investor_0035,HUF,Chennai,Tamil Nadu,Aggressive,119551,Axis Bluechip Fund - Direct Growth,AXIS,Redemption,25-Dec-2022,26567.54,134.4492,197.6028
TXN0000005,INVBNP84,Investor_0200,Individual,Lucknow,Uttar Pradesh,Aggressive,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-In,10-May-2022,2124.6,20.318,104.5675
TXN0000006,INVMWWYZ,Investor_0184,Individual,Pune,Maharashtra,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,SIP,13-Feb-2023,9403.18,73.1393,128.5654
TXN0000007,INVNHJ7X,Investor_0011,Corporate,Delhi,Delhi,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Redemption,27-Aug-2024,54891.23,774.2085,70.8998
TXN0000008,INV5935A,Investor_0065,HUF,Jaipur,Rajasthan,Aggressive,119551,Axis Bluechip Fund - Direct Growth,AXIS,Lumpsum,08-Apr-2022,9713.95,57.3279,169.4454
TXN0000009,INVOXFQ8,Investor_0168,HUF,Mumbai,Maharashtra,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Redemption,13-Jun-2024,1059.87,11.3045,93.7563
TXN0000010,INVHL1N1,Investor_0103,Corporate,Kolkata,West Bengal,Aggressive,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-In,13-Oct-2024,27368.62,202.287,135.296
TXN0000011,INVYFPMV,Investor_0178,Individual,Hyderabad,Telangana,Conservative,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,19-May-2024,10602.3,116.0244,91.3799
TXN0000012,INVAZYTJ,Investor_0021,Individual,Delhi,Delhi,Aggressive,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Switch-Out,20-Oct-2023,2018.19,6.1298,329.2437
TXN0000013,INVLC58D,Investor_0027,Individual,Pune,Maharashtra,Moderate,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Redemption,22-May-2024,9612.99,51.5329,186.5407
TXN0000014,INVJ2QP8,Investor_0043,Individual,Lucknow,Uttar Pradesh,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,24-Dec-2023,90847.1,1158.3001,78.4314
TXN0000015,INV49ITN,Investor_0158,Individual,Jaipur,Rajasthan,Conservative,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Redemption,11-Apr-2024,457.5,1.6263,281.3061
TXN0000016,INVEIYZC,Investor_0094,HUF,Lucknow,Uttar Pradesh,Moderate,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Lumpsum,16-Jun-2024,464.28,2.0712,224.1613
TXN0000017,INVZBIKC,Investor_0009,HUF,Delhi,Delhi,Conservative,122639,SBI Small Cap Fund - Direct Growth,SBI,SIP,21-Jan-2024,5278.52,12.1899,433.0227
