Scheme Code,Scheme Name,NAV Date,NAV,Repurchase Price,Sale Price,AMC Code,Category,Sub Category
119551,Axis Bluechip Fund - Direct Growth,01-Jan-2022,143.3259,143.1109,143.3259,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,02-Jan-2022,143.1454,142.9307,143.1454,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,03-Jan-2022,144.3152,144.0987,144.3152,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,04-Jan-2022,147.0105,146.79,147.0105,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,05-Jan-2022,146.6562,146.4362,146.6562,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,06-Jan-2022,146.3028,146.0833,146.3028,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,07-Jan-2022,149.1338,148.9101,149.1338,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,08-Jan-2022,150.5669,150.341,150.5669,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,09-Jan-2022,149.7789,149.5542,149.7789,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,10-Jan-2022,150.814,150.5878,150.814,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,11-Jan-2022,150.0356,149.8105,150.0356,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,12-Jan-2022,149.2571,149.0332,149.2571,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,13-Jan-2022,149.7502,149.5256,149.7502,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,14-Jan-2022,146.3719,146.1523,146.3719,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,15-Jan-2022,143.4007,143.1856,143.4007,AXIS,Equity,Large Cap
119551,Axis Bluechip Fund - Direct Growth,16-Jan-2022,142.4905,142.2768,142.4905,AXIS,Equity,Large Cap
