Scheme Code,Scheme Name,AMC Code,Category,Sub Category,As of Date,Returns 1M (%),Returns 3M (%),Returns 6M (%),Returns 1Y (%),Returns 3Y (%),Returns 5Y (%),Sharpe Ratio,Expense Ratio (%),AUM (Cr),Benchmark
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,31-Mar-2022,0.0652,0.1474,0.3365,0.5619,1.8068,2.9798,2.4645,0.7227,25104.26,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,30-Jun-2022,0.015,-0.0709,-0.1473,-0.2574,-0.8868,-1.4654,0.3448,0.711,46491.3,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,30-Sep-2022,0.0274,0.0981,0.0476,0.1295,0.2727,0.7878,1.5435,0.4414,30584.22,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,31-Dec-2022,-0.0268,-0.0258,-0.0688,0.0229,-0.1385,-0.1892,1.6203,0.7287,10288.22,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,31-Mar-2023,0.0442,0.1497,0.329,0.6058,2.0997,3.516,0.5714,0.5814,22523.65,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,30-Jun-2023,-0.0069,0.1009,0.1242,0.2626,0.8089,1.2223,0.775,0.259,16558.43,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,30-Sep-2023,-0.0202,-0.0498,-0.0036,-0.1417,-0.3464,-0.5908,0.6083,0.3407,32377.81,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,31-Dec-2023,0.0103,0.061,0.0099,0.1427,0.3249,0.6584,1.0713,0.1227,2532.51,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,31-Mar-2024,0.062,0.1397,0.2206,0.4279,1.284,2.4308,2.1946,0.132,9596.05,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,30-Jun-2024,0.0039,0.1314,0.1943,0.3486,1.0122,1.7755,0.8816,0.1066,-1.0,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,30-Sep-2024,-0.0384,-0.1103,-0.1666,-0.4684,-1.3215,-2.0498,1.0785,0.8119,-1.0,NIFTY 50
119551,Axis Bluechip Fund - Direct Growth,AXIS,Equity,Large Cap,31-Dec-2024,-0.022,-0.0767,-0.2227,-0.5377,-1.482,-2.5435,2.2184,0.8064,25566.05,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,31-Mar-2022,0.0035,-0.1195,-0.0764,-0.2637,-0.7298,-1.3351,0.703,0.556,30951.9,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,30-Jun-2022,-0.0475,-0.1308,-0.2839,-0.5225,-1.6329,-2.6466,0.346,0.2298,47511.19,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,30-Sep-2022,0.0146,0.0266,0.13,0.3175,0.4989,1.1165,0.733,0.9656,11914.85,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,31-Dec-2022,-0.0112,-0.0584,-0.0787,-0.0506,-0.3625,-0.6569,1.797,0.9148,20395.29,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,31-Mar-2023,-0.0027,0.0554,0.0811,-0.0288,0.549,0.7633,1.4281,0.4373,44669.09,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,30-Jun-2023,-0.0569,-0.0809,-0.1126,-0.3166,-0.789,-1.3523,1.5103,999.0,37615.98,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,30-Sep-2023,0.1023,0.2448,0.4715,1.079,3.0105,5.341,1.2847,0.63,47159.05,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,31-Dec-2023,-0.0454,-0.0478,-0.2796,-0.2751,-0.8535,-1.4454,0.9236,1.0033,9385.32,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,31-Mar-2024,0.0068,-0.0048,-0.0752,-0.1049,-0.3442,-0.5829,1.9114,0.1059,8016.84,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,30-Jun-2024,-0.0326,-0.0192,-0.1009,-0.2346,-0.7976,-1.0388,1.4019,999.0,26178.93,NIFTY 50
